origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1,target_next_year_tons
44,Rhode Island,46,South Dakota,2019,0.26204,16.188496,0.268284,16.454436,-0.02327384413531939,-0.016162206957442995,1416.6027233532957,1.8126316666666666,0.25194099999999997
44,Rhode Island,46,South Dakota,2020,0.25194099999999997,15.044489,0.26204,16.188496,-0.03853991756983676,-0.07066789898209198,1416.6027233532957,1.2548791666666668,0.249582
44,Rhode Island,46,South Dakota,2021,0.249582,14.818315,0.25194099999999997,15.044489,-0.00936330331307716,-0.01503367778061457,1416.6027233532957,4.6765175,0.239877
44,Rhode Island,46,South Dakota,2022,0.239877,14.088051,0.249582,14.818315,-0.03888501574632783,-0.0492811767059885,1416.6027233532957,7.998425833333333,0.23484700000000003
44,Rhode Island,46,South Dakota,2023,0.23484700000000003,13.988358999999999,0.239877,14.088051,-0.020969079986826494,-0.007076351441374041,1416.6027233532957,4.1461049999999995,0.232132
44,Rhode Island,47,Tennessee,2019,17.657149,131.5952,17.919966,133.739073,-0.01466615505855303,-0.016030266637185268,909.3279883812751,1.8126316666666666,16.914573
44,Rhode Island,47,Tennessee,2020,16.914573,126.96223400000001,17.657149,131.5952,-0.04205526045003073,-0.035206192931049124,909.3279883812751,1.2548791666666668,16.197478
44,Rhode Island,47,Tennessee,2021,16.197478,122.31143,16.914573,126.96223400000001,-0.04239509918459074,-0.03663139701842366,909.3279883812751,4.6765175,16.832637000000002
44,Rhode Island,47,Tennessee,2022,16.832637000000002,127.89571,16.197478,122.31143,0.03921345039023986,0.045656239976917874,909.3279883812751,7.998425833333333,16.989514
44,Rhode Island,47,Tennessee,2023,16.989514,129.044429,16.832637000000002,127.89571,0.009319811269024451,0.008981685155819645,909.3279883812751,4.1461049999999995,17.161835
44,Rhode Island,48,Texas,2019,139.704513,1152.635282,143.219703,1185.438899,-0.024544039167571922,-0.02767212804276303,1613.7197543369136,1.8126316666666666,116.125682
44,Rhode Island,48,Texas,2020,116.125682,1066.347857,139.704513,1152.635282,-0.1687764446092017,-0.07486099579589305,1613.7197543369136,1.2548791666666668,108.336473
44,Rhode Island,48,Texas,2021,108.336473,1006.435771,116.125682,1066.347857,-0.06707567926274913,-0.056184373238722544,1613.7197543369136,4.6765175,104.394836
44,Rhode Island,48,Texas,2022,104.394836,1007.023199,108.336473,1006.435771,-0.036383287094827244,0.0005836716230944971,1613.7197543369136,7.998425833333333,109.154786
44,Rhode Island,48,Texas,2023,109.154786,1032.700496,104.394836,1007.023199,0.0455956461294695,0.025498217941253162,1613.7197543369136,4.1461049999999995,115.992522
44,Rhode Island,49,Utah,2019,15.382686000000001,123.091075,15.532343000000001,124.89355400000001,-0.009635185110192292,-0.014432121933210461,2089.573726881498,1.8126316666666666,14.724195
44,Rhode Island,49,Utah,2020,14.724195,115.739109,15.382686000000001,123.091075,-0.04280728346141899,-0.059727855979810104,2089.573726881498,1.2548791666666668,13.643178
44,Rhode Island,49,Utah,2021,13.643178,110.0868,14.724195,115.739109,-0.07341773183525478,-0.04883663827064715,2089.573726881498,4.6765175,14.253901999999998
44,Rhode Island,49,Utah,2022,14.253901999999998,108.634553,13.643178,110.0868,0.04476405717201649,-0.013191835896765097,2089.573726881498,7.998425833333333,14.100331
44,Rhode Island,49,Utah,2023,14.100331,108.429763,14.253901999999998,108.634553,-0.010773962105253544,-0.001885127653629713,2089.573726881498,4.1461049999999995,14.364864
44,Rhode Island,50,Vermont,2019,284.043558,581.374448,229.264434,579.439413,0.23893424306711275,0.003339494961141148,176.62725983860574,1.8126316666666666,200.179217
44,Rhode Island,50,Vermont,2020,200.179217,503.500194,284.043558,581.374448,-0.29525169164371623,-0.1339485322547234,176.62725983860574,1.2548791666666668,175.86971499999999
44,Rhode Island,50,Vermont,2021,175.86971499999999,456.711863,200.179217,503.500194,-0.12143869061092395,-0.09292614294404825,176.62725983860574,4.6765175,167.615626
44,Rhode Island,50,Vermont,2022,167.615626,492.433039,175.86971499999999,456.711863,-0.046932975356217495,0.07821381245794357,176.62725983860574,7.998425833333333,184.87193200000002
44,Rhode Island,50,Vermont,2023,184.87193200000002,516.499105,167.615626,492.433039,0.10295165440004994,0.04887175330248297,176.62725983860574,4.1461049999999995,145.762651
44,Rhode Island,51,Virginia,2019,51.532121000000004,389.284263,51.943311,394.546113,-0.007916129951746774,-0.013336463917970423,442.37307597298826,1.8126316666666666,49.072176999999996
44,Rhode Island,51,Virginia,2020,49.072176999999996,382.666211,51.532121000000004,389.284263,-0.047736129471558274,-0.017000563929808882,442.37307597298826,1.2548791666666668,45.979043
44,Rhode Island,51,Virginia,2021,45.979043,376.689546,49.072176999999996,382.666211,-0.06303233704100797,-0.015618481141518838,442.37307597298826,4.6765175,46.876756
44,Rhode Island,51,Virginia,2022,46.876756,362.783892,45.979043,376.689546,0.019524395059723254,-0.03691542318511814,442.37307597298826,7.998425833333333,46.26793
44,Rhode Island,51,Virginia,2023,46.26793,353.55055,46.876756,362.783892,-0.012987801459640265,-0.025451356037604872,442.37307597298826,4.1461049999999995,46.653979
44,Rhode Island,53,Washington,2019,6.184973,66.610734,7.660038,70.317963,-0.19256627708635385,-0.0527209384606322,2448.5253234526303,1.8126316666666666,6.365049
44,Rhode Island,53,Washington,2020,6.365049,61.566881,6.184973,66.610734,0.029115082636577343,-0.07572132443398676,2448.5253234526303,1.2548791666666668,6.084376
44,Rhode Island,53,Washington,2021,6.084376,61.873064,6.365049,61.566881,-0.04409596846779973,0.0049731770560213565,2448.5253234526303,4.6765175,6.092878
44,Rhode Island,53,Washington,2022,6.092878,65.029605,6.084376,61.873064,0.0013973495392132257,0.0510164002868842,2448.5253234526303,7.998425833333333,6.187646
44,Rhode Island,53,Washington,2023,6.187646,61.625161,6.092878,65.029605,0.015553897517724824,-0.052352217117111584,2448.5253234526303,4.1461049999999995,5.3932020000000005
44,Rhode Island,54,West Virginia,2019,8.274283,6.17621,8.66843,6.340065,-0.045469248756695294,-0.025844372258013105,544.0549292984699,1.8126316666666666,7.8173390000000005
44,Rhode Island,54,West Virginia,2020,7.8173390000000005,5.9612620000000005,8.274283,6.17621,-0.055224603751164905,-0.034802573099036414,544.0549292984699,1.2548791666666668,8.309774
44,Rhode Island,54,West Virginia,2021,8.309774,6.084135,7.8173390000000005,5.9612620000000005,0.06299266284857294,0.020611910699445745,544.0549292984699,4.6765175,7.690492
44,Rhode Island,54,West Virginia,2022,7.690492,5.865349,8.309774,6.084135,-0.07452452978865622,-0.03596008306850517,544.0549292984699,7.998425833333333,8.264395
44,Rhode Island,54,West Virginia,2023,8.264395,5.81817,7.690492,5.865349,0.07462500448605895,-0.008043681629174983,544.0549292984699,4.1461049999999995,8.638856
44,Rhode Island,55,Wisconsin,2019,21.281097,148.545773,21.670729,151.33399599999998,-0.017979644339606776,-0.018424300379935702,931.5499259363011,1.8126316666666666,19.846022
44,Rhode Island,55,Wisconsin,2020,19.846022,143.019482,21.281097,148.545773,-0.06743425867566873,-0.037202613634788426,931.5499259363011,1.2548791666666668,19.798108
44,Rhode Island,55,Wisconsin,2021,19.798108,139.165391,19.846022,143.019482,-0.0024142873569323983,-0.026948013977564335,931.5499259363011,4.6765175,19.874208
44,Rhode Island,55,Wisconsin,2022,19.874208,137.909321,19.798108,139.165391,0.0038438016400355168,-0.009025735428717287,931.5499259363011,7.998425833333333,19.578973
44,Rhode Island,55,Wisconsin,2023,19.578973,136.01495,19.874208,137.909321,-0.014855183160003062,-0.013736352164332725,931.5499259363011,4.1461049999999995,19.23048
