origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
29,Missouri,47,Tennessee,2024,2025,linear_regression,1705.5934433649647
51,Virginia,12,Florida,2024,2025,linear_regression,1701.5181165582792
5,Arkansas,28,Mississippi,2024,2025,linear_regression,1690.3942100287245
22,Louisiana,17,Illinois,2024,2025,linear_regression,1678.1054477607188
5,Arkansas,6,California,2024,2025,linear_regression,1676.011227249977
47,Tennessee,26,Michigan,2024,2025,linear_regression,1657.1998970237578
13,Georgia,6,California,2024,2025,linear_regression,1656.7884811750741
6,California,27,Minnesota,2024,2025,linear_regression,1652.9195214823083
4,Arizona,35,New Mexico,2024,2025,linear_regression,1647.8794888117043
6,California,36,New York,2024,2025,linear_regression,1647.5037394973692
36,New York,37,North Carolina,2024,2025,linear_regression,1642.8958015684411
49,Utah,8,Colorado,2024,2025,linear_regression,1635.1254147346792
27,Minnesota,48,Texas,2024,2025,linear_regression,1632.2030012305638
45,South Carolina,1,Alabama,2024,2025,linear_regression,1625.4209991615671
17,Illinois,20,Kansas,2024,2025,linear_regression,1622.9845729577544
6,California,12,Florida,2024,2025,linear_regression,1619.9371803931865
21,Kentucky,1,Alabama,2024,2025,linear_regression,1614.8833701552628
36,New York,6,California,2024,2025,linear_regression,1613.563719556532
25,Massachusetts,50,Vermont,2024,2025,linear_regression,1608.027698053053
20,Kansas,19,Iowa,2024,2025,linear_regression,1601.1581256388065
